Folder Energy SCF Time IASD
scf-1e-2 -5416.338145 4 11.929000 19.394049
scf-1e-3 -5417.891232 44 78.924000 23.040777
scf-5e-4 -5417.753357 10 24.717000 23.132764
scf-3e-4 -5417.819612 8 23.305000 23.358091
scf-2e-4 -5417.749837 11 28.782000 23.480626
scf-1e-4 -5417.776762 37 65.021000 23.650265
scf-5e-5 -5417.779202 3 14.594000 23.651409
scf-1e-5 -5417.778403 28 52.240000 23.651832
scf-5e-6 -5417.778734 27 50.271000 23.652809
scf-1e-6 -5417.778852 12 28.343000 23.653133
scf-5e-7 -5417.778702 14 37.264000 23.653186
scf-1e-7 -5417.778723 11 26.441000 23.653232
Total SCF 209.000000
